Iterations,RMSE,MAE,R2_times_10
1,12.09815971,8.263976304,1.41251
2,11.25404514,7.735347813,2.56904
3,10.51504815,7.248826274,3.51291
4,9.86435674,6.797249841,4.29093
5,9.275419884,6.391995051,4.95229
6,8.764400262,6.041776998,5.49316
7,8.323348715,5.711142781,5.93534
8,7.950690805,5.418454235,6.29117
9,7.645605476,5.195982375,6.57034
10,7.352195348,4.974014327,6.82852
11,7.070548734,4.75512128,7.06685
12,6.823085882,4.570009027,7.26857
13,6.585072428,4.375620799,7.45581
14,6.442391861,4.27023673,7.56487
15,6.221114438,4.103624758,7.72928
16,6.008351272,3.946902415,7.88194
17,5.808824654,3.787203336,8.02028
18,5.671876429,3.661212929,8.11253
19,5.54474695,3.537731964,8.19619
20,5.429827478,3.425343547,8.27018
21,5.313302156,3.323874699,8.34363
22,5.237148785,3.240594904,8.39077
23,5.186364223,3.203252392,8.42183
24,5.13660248,3.160179539,8.45197
25,5.07747279,3.116976645,8.4874
26,5.023895675,3.071058669,8.51916
27,4.984691598,3.01518805,8.54218
28,4.951279395,2.98119489,8.56166
29,4.882384416,2.890654639,8.60141
30,4.840826314,2.850139376,8.62511
31,4.783061803,2.7906075,8.65773
32,4.761933295,2.780299378,8.66956
33,4.736914579,2.756153442,8.68351
34,4.683567918,2.72663312,8.71299
35,4.649796454,2.681392011,8.73149
36,4.602767035,2.632613628,8.75702
37,4.594402174,2.624367157,8.76153
38,4.585337025,2.612023556,8.76641
39,4.572937239,2.599158765,8.77307
40,4.548353932,2.561439815,8.78623
41,4.511223057,2.548722104,8.80597
42,4.497401999,2.53695509,8.81327
43,4.465380028,2.52442757,8.83011
44,4.436841923,2.513438286,8.84502
45,4.416994543,2.503322174,8.85533
46,4.403295558,2.486537742,8.86242
47,4.380335711,2.465119105,8.87425
48,4.362745594,2.441175084,8.88327
49,4.327499059,2.38647841,8.90124
50,4.314217081,2.370624995,8.90798
51,4.29637443,2.36485434,8.91699
52,4.28455018,2.36152006,8.92294
53,4.270027276,2.356630266,8.93023
54,4.25671727,2.342150548,8.93689
55,4.243578187,2.330125553,8.94345
56,4.233451876,2.323505257,8.94848
57,4.210874238,2.297120833,8.95967
58,4.196760022,2.291340357,8.96663
59,4.185573968,2.281412102,8.97213
60,4.169589412,2.25097111,8.97997
61,4.155334527,2.234639157,8.98693
62,4.152572135,2.232720572,8.98828
63,4.132763536,2.202227265,8.99791
64,4.123421863,2.195451827,9.00243
65,4.111659454,2.182465878,9.00811
66,4.097769472,2.155700971,9.0148
67,4.088613942,2.147921603,9.0192
68,4.064379065,2.121407877,9.03079
69,4.05201976,2.119367681,9.03668
70,4.035442288,2.09363686,9.04455
71,4.027118695,2.090528611,9.04848
72,4.019742525,2.078950929,9.05197
73,4.0076921,2.064587315,9.05764
74,4.002446694,2.055461139,9.06011
75,3.987754106,2.038143088,9.06699
76,3.978549756,2.034120322,9.0713
77,3.972077093,2.032448229,9.07432
78,3.956916024,2.022070815,9.08137
79,3.953923986,2.020586069,9.08276
80,3.945887343,2.005038458,9.08648
81,3.936508669,2.001832087,9.09082
82,3.924139108,1.992733201,9.09652
83,3.917901986,1.981247068,9.09939
84,3.912120455,1.977593066,9.10205
85,3.903340431,1.974918068,9.10608
86,3.900220802,1.971602029,9.1075
87,3.88997252,1.966316374,9.11219
88,3.885325241,1.965129058,9.11431
89,3.877704264,1.951847302,9.11778
90,3.87225855,1.946648775,9.12026
91,3.856876288,1.940154456,9.12723
92,3.850965423,1.939785074,9.1299
93,3.847012917,1.931963905,9.13169
94,3.834467453,1.928169061,9.13734
95,3.828857665,1.915550144,9.13987
96,3.824403987,1.912355385,9.14187
97,3.81804614,1.895523642,9.14472
98,3.814425642,1.889486251,9.14634
99,3.804515144,1.882826563,9.15077
100,3.797536965,1.875447301,9.15388
